城市,门店名称,区域(组合后),地址,评分(留空),标签(剔除)
上海市,华尔康口腔（松江九杜路店）,上海市-松江区,上海市松江区沪松公路1510号一层106、107室,,
上海市,华尔康口腔（松江九亭店）,上海市-松江区,上海市松江区九亭镇九亭大街504号,,
上海市,华尔康口腔（松江吾悦广场店）,上海市-松江区,上海市松江区永丰街道玉树路2579号,,
上海市,博恒口腔,上海市-静安区,上海市静安区场中路2216、2218、2220、2222号一层,,
上海市,上海摩瓦口腔,上海市-浦东新区,上海市浦东新区上南路3064-3072（双）号1-3层,,
上海市,维乐口腔 埃齐门诊,上海市-静安区,上海市静安区昌平路535号,,
上海市,上海泰康拜博口腔医院,上海市-黄浦区,上海市黄浦区西藏中路18号港陆广场4楼、5楼、六楼,,
上海市,上海泰康拜博昌森口腔门诊部,上海市-静安区,静安区万航渡路889号889广场3层L3-09室,,
上海市,上海泰康拜博浦尔口腔门诊部,上海市-徐汇区,上海市徐汇区浦北路9号家乐福4楼,,
上海市,上海泰康拜博万尔口腔门诊部,上海市-闵行区,上海市闵行区申长路988弄虹桥万科中心商场2层T2-203-205号单元,,
上海市,上海泰康拜博南尔口腔门诊部,上海市-奉贤区,上海市奉贤区南桥路366号,,
上海市,上海泰康拜博悦尔口腔门诊部,上海市-嘉定区,上海市嘉定区白银路288弄77号501室,,
上海市,上海泰康拜博丽德口腔门诊部,上海市-长宁区,上海市长宁区淞虹路377号L2层T2-N02室,,
上海市,上海泰康拜博静尔口腔门诊部,上海市-静安区,上海市静安区愚园路68号晶品大厦5-13,,
上海市,上海泰康拜博六和口腔门诊部,上海市-杨浦区,上海市杨浦区大连路1192号,,
上海市,上海泰康拜博广尔口腔门诊部,上海市-闵行区,闵行区漕宝路3366号L4层L424B,,
上海市,上海泰康拜博松尔口腔门诊部,上海市-松江区,上海市松江区光星路1572号,,
上海市,上海泰康拜博康乾口腔门诊部,上海市-宝山区,上海市宝山区殷高西路510号2楼,,
上海市,上海泰康拜博龙尔口腔门诊部,上海市-虹口区,上海市虹口区西江湾路388号凯德龙之梦购物中心B座四楼04-12,,
上海市,上海泰康拜博凯尔口腔诊所,上海市-长宁区,长宁区凯旋路1398号8号楼401-501室,,
上海市,上海泰康拜博吉尔口腔门诊部,上海市-闵行区,上海市闵行区虹井路288号乐虹坊3楼,,
上海市,上海泰康拜博博尔口腔门诊部,上海市-黄浦区,上海市黄浦区徐家汇路338号3楼,,
上海市,上海泰康拜博淞耀口腔医院,上海市-杨浦区,上海市杨浦区淞沪路234号201-209室,,
上海市,上海泰康拜博宝尔口腔门诊部,上海市-宝山区,上海市宝山区牡丹江路1272号6楼,,
上海市,上海泰康拜博星尔口腔门诊部,上海市-普陀区,上海市普陀区中山北路3300号4157室（环球港4楼）,,
上海市,上海泰康拜博虹尔口腔门诊部,上海市-虹口区,上海市虹口区天宝路280弄17号B1-20,,
上海市,上海泰康拜博荣尔口腔门诊部,上海市-静安区,"上海市静安区共和新路1898号406、407单元大宁国际商业广场5座(近大宁路,地铁1号线延长路站)",,
上海市,上海泰康拜博臻尔口腔诊所,上海市-松江区,上海市松江区广富林路1788弄1号3层L326号单元,,
上海市,上海泰康拜尔口腔门诊部,上海市-长宁区,上海市长宁区长宁路1018号5楼,,
