城市,门店名称,区域(组合后),地址,评分(留空),标签(剔除)
北京市,北京劲松口腔医院(角门分院),北京市-丰台区,北京市北京市丰台区丰台区马家堡西路15号101-F1A,,
北京市,北京华慈口腔门诊部,北京市-大兴区,北京市大兴区北环东路3号院2号楼1至2层2号,,
北京市,北京品若口腔门诊部,北京市-朝阳区,北京市北京市朝阳区南湖南路11号院1号楼106-1.106-2.106-3,,
北京市,北京尚善口腔,北京市-海淀区,北京市海淀区紫竹院路116号 嘉豪国际中心一层底商,,
北京市,北京悠恩齿科口腔诊所(中粮门诊),北京市-顺义区,北京市顺义区临空经济核心区安泰大街9号院19号楼1层107室,,
北京市,北京悠恩齿科口腔诊所(金宝门诊),北京市-顺义区,北京市顺义区顺恒大街10号院1号楼1层109,,
北京市,北京悠恩齿科口腔诊所(香悦诊所),北京市-顺义区,北京市顺义区马镇安路3号院三区12号楼1层,,
北京市,北京整齐娃娃口腔,北京市-朝阳区,北京市朝阳区曙光西里甲1号商业1层16C及2层15A、15B、16A部分,,
北京市,北京普尔口腔诊所,北京市-朝阳区,北京市朝阳区88号院SOHO现代城A座三层0324室,,
北京市,北京普尔尼斯口腔门诊部有限公司,北京市-朝阳区,北京市朝阳区青年路7号院5号楼二层普尔口腔50203/50204（星巴克隔壁）,,
北京市,北京普尔祥云口腔医院管理有限公司北京普尔口腔门诊部,北京市-顺义区,北京市顺义区安泰大街9号院10号楼3层301.302室,,
北京市,北京松鼠家口腔门诊部,北京市-大兴区,北京市大兴区亦庄经济技术开发区泰和园五里18号楼层101-05B,,
北京市,北京松鼠家景园口腔门诊部有限公司,北京市-大兴区,北京市大兴区亦庄经济技术开发区科创十一街4号院3号楼1至2层104,,
北京市,北京欢乐英辰口腔门诊部,北京市-东城区,北京市东城区幸福家园4号楼1层4-5-101/201,,
北京市,北京海鲸口腔,北京市-朝阳区,北京市北京市朝阳区工体东路20号2层202内18号。（春平广场【交通银行】旁海鲸口腔）,,
北京市,北京爱芽口腔门诊部,北京市-海淀区,北京市海淀区学院路6号1号楼1层A还建,,
北京市,北京瑞泰口腔(通州店),北京市-通州区,北京市通州区新华西街61号3层8-1-20-1,,
北京市,北京看丹口腔门诊部,北京市-丰台区,北京市丰台区西四环南路103号院,,
北京市,北京福乐口腔门诊部,北京市-顺义区,北京市北京市顺义区后沙峪祥云小镇北区fudi会员商店内,,
北京市,北京科尔口腔(合生汇总院),北京市-朝阳区,北京市朝阳区西大望路甲20号院11,,
北京市,北京科尔口腔西大望路店(老院),北京市-朝阳区,北京市朝阳区西大望路59号院1-4号,,
北京市,北京维尔口腔医院(三元桥分院),北京市-朝阳区,北京市北京市朝阳区西坝河东里79-9号楼,,
北京市,北京维尔口腔医院(上地分院),北京市-海淀区,北京市北京市海淀区信息路30号上地大厦一层A101室,,
北京市,北京维尔口腔医院(八里庄分院),北京市-朝阳区,北京市北京市朝阳区八里庄南里32号楼,,
北京市,北京维尔口腔医院(甘露园分院),北京市-朝阳区,北京市北京市朝阳区朝阳路甘露园南里二区6号楼一层底商,,
北京市,北京维尔口腔医院(紫竹桥分院),北京市-海淀区,北京市北京市海淀区西三环北路35号,,
北京市,北京维尔齿美口腔专科医院(丰台分院),北京市-丰台区,北京市丰台区怡海花园恒丰园2号楼1层2层,,
北京市,北京诺泰口腔门诊部,北京市-朝阳区,北京市朝阳区慧忠北里309号楼122号,,
北京市,博康泰口腔医院,北京市-丰台区,北京市丰台区警备东路6号二区综合楼北段4049,,
北京市,品格诺德口腔(富力城店),北京市-朝阳区,北京市朝阳区广渠门外大街1号院9号楼1层底商,,
北京市,品格齿铭口腔(世纪城店),北京市-海淀区,北京市海淀区蓝靛厂翠叠园12号楼2层地上201-1,,
北京市,嘉和口腔(新华南路店),北京市-通州区,北京市通州区新华南路6号,,
北京市,嘉士美口腔,北京市-大兴区,北京市大兴区庞各庄镇团结路19号院23号楼1单元113,,
北京市,廷杰口腔(名佳店),北京市-昌平区,北京市北京市昌平区北七家镇名佳花园一区一号楼底商,,
北京市,廷杰口腔(望都店),北京市-昌平区,北京市北京市昌平区北七家镇望都家园底商32号楼,,
北京市,廷杰口腔(百善店),北京市-昌平区,北京市北京市昌平区百善镇善缘家园底商廷杰口腔,,
北京市,新天地口腔(长楹店),北京市-朝阳区,北京市朝阳区朝阳路5号院8号楼2层201内09,,
北京市,普尔口腔(祥云小镇店),北京市-顺义区,北京市顺义区安泰大街9号院10号楼3层301、302室,,
北京市,晶诚口腔(白石桥店),北京市-海淀区,北京市海淀区主语家园17楼1层105,,
北京市,晶诚口腔(知春路店),北京市-海淀区,北京市海淀区知春路17号商业、车库一层015号,,
北京市,有来医生口腔(西直门店),北京市-海淀区,北京市北京市海淀区高梁桥斜街59号院中坤大厦底商,,
北京市,柠檬树口腔(长阳店),北京市-房山区,北京市房山区广阳新路7号院2号楼2层1-208,,
北京市,梵朗口腔,北京市-顺义区,北京市顺义区后沙峪香花畦家园,,
北京市,欢乐口腔(五道口分院),北京市-海淀区,北京市海淀区成府路29号1层1-2,,
北京市,欢乐口腔(亚运村分院),北京市-朝阳区,北京市朝阳区安慧北里安园8号楼1层101、2层202,,
北京市,欢乐口腔(交大分院),北京市-海淀区,北京市海淀区交大东路60号1层60-1-1,,
北京市,欢乐口腔(六道口分院),北京市-海淀区,北京市海淀区学院路6号1号楼104、2层跃层,,
北京市,欢乐口腔(华贸分院),北京市-朝阳区,北京市朝阳区红庙十字路口西南角6号楼,,
北京市,欢乐口腔(双榆树分院),北京市-海淀区,北京市海淀区双榆树小区西里新雅餐厅3号楼1层106号,,
北京市,欢乐口腔(和平里分院),北京市-朝阳区,北京市朝阳区和平西苑20号楼C座103-1内1-2层、2层C座103-2,,
北京市,欢乐口腔(大悦城分院),北京市-朝阳区,北京市朝阳区青年路西路5号院16号楼1层104内09号,,
北京市,欢乐口腔(天通苑分院),北京市-昌平区,北京市昌平区东小口镇立汤路186甲5幢1-107,,
北京市,欢乐口腔(太阳宫分院),北京市-朝阳区,北京市朝阳区西坝河东里2号院4号楼1至2层商业05（4#）,,
北京市,欢乐口腔(宣武门分院),北京市-西城区,北京市西城区宣武门外大街8号楼1层101-2144,,
北京市,欢乐口腔(将台路分院),北京市-朝阳区,北京市朝阳区酒仙桥路乙21号1号楼3层北侧,,
北京市,欢乐口腔(望京分院),北京市-朝阳区,北京市朝阳区广顺北大街33号院1号楼1层101室002号,,
北京市,欢乐口腔(朝阳北路分院),北京市-朝阳区,北京市朝阳区朝阳北路129号院2号楼2层201内01、02号,,
北京市,欢乐口腔(朝阳门分院),北京市-朝阳区,北京市朝阳区朝外大街乙12号1层04号2层跃层,,
北京市,欢乐口腔(百子湾分院),北京市-朝阳区,北京市朝阳区百子湾西里101号楼1至2层商业B,,
北京市,欢乐口腔(知春路分院),北京市-海淀区,北京市海淀区知春路56号西区一层西侧,,
北京市,欢乐口腔(第五大道分院),北京市-朝阳区,北京市朝阳区慧忠北里309号楼1层117-2,,
北京市,欢乐口腔(英观分院),北京市-昌平区,北京市昌平区回龙观东大街3号楼-1至2层01,,
北京市,欢乐口腔(西直门分院),北京市-西城区,北京市西城区西直门外南大街06乙楼一层1哦、二层201,,
北京市,欢乐口腔(长楹分院),北京市-朝阳区,北京市朝阳区常通路2号院1号楼-2至5层101内地下2层B1-18b、B2-19,,
北京市,欢乐口腔(阜成门分院),北京市-西城区,北京市西城区阜成门外大街2号1幢1层S1002、S1003,,
北京市,欢乐口腔(龙泽分院),北京市-昌平区,北京市昌平区龙域西二路6号院1号楼121号房（1-2层）,,
北京市,欢乐口腔医院(顺义分院),北京市-顺义区,北京市顺义区仁和镇御龙花园三区27号楼3层301、4层401、5层501,,
北京市,欢乐固瑞齿科(大族广场店),北京市-经济技术开发区,北京市经济技术开发区荣华南路2号院9号楼2层F2-28-2,,
北京市,爵冠口腔(西三旗店),北京市-海淀区,北京市北京市海淀区西三旗沁春家园1号楼，2号楼，3号楼1层102—1006室,,
北京市,瑞泰口腔(丰台分院),北京市-丰台区,北京市丰台区南四环西路188号一区31楼,,
北京市,瑞泰口腔(亦庄分院),北京市-大兴区,北京市北京市大兴区北京市大兴区经济技术开发区文化园西路8号院30号楼1层底商,,
北京市,瑞泰口腔(亦庄分院),北京市-大兴区,北京市大兴区经济技术开发区文化园西路8号院30号楼1层底商,,
北京市,瑞泰口腔(北苑总院),北京市-朝阳区,北京市朝阳区北苑路媒体村天居园一号楼,,
北京市,瑞泰口腔(工体分院),北京市-东城区,北京市东城区工人体育场北路66号1-2层106（东四十条桥瑞士公寓底商）,,
北京市,瑞泰口腔医院(望京分院),北京市-朝阳区,北京市朝阳区广顺北大街18号院望京华彩国际会所一层（14号线东湖渠C口向东100米）,,
北京市,瑞泰海淀医院,北京市-海淀区,北京市海淀区小马厂华天大厦3层,,
北京市,瑞泰齿科(北苑店),北京市-朝阳区,北京市朝阳区北苑路绿色家园媒体村天居园1号楼,,
北京市,瑞泰齿科(望京店),北京市-朝阳区,北京市朝阳区广顺北大街18号院2号楼1层105A,,
北京市,瑞泰齿科陶然亭店,北京市-西城区,北京市西城区太平街甲6号富力摩根AB座底商110号,,
北京市,瑞鲨舒适口腔大悦城分院,北京市-朝阳区,北京市朝阳区朝阳北路99号楼1层,,
北京市,瑞鲨舒适口腔太阳宫分院,北京市-朝阳区,北京市朝阳区夏家园12号楼一层01商业103室,,
北京市,瑞鲨舒适口腔海淀分院,北京市-海淀区,北京市海淀区复兴路51号1幢1层1001-34（海淀万寿路凯德晶品一层东北角）,,
北京市,皓尔国际口腔(燕莎佳亿店),北京市-朝阳区,北京市朝阳区顺源街3号院10号楼二层南侧1号,,
北京市,皓尔国际口腔(通州万达店),北京市-通州区,北京市通州区新华西街58号院1号楼4层107-4060、4055,,
北京市,皓尔国际口腔(铂尔曼店),北京市-北京经济技术开发区,北京市北京经济技术开发区荣华南路12号院1幢二层,,
北京市,皓尔国际口腔儿童齿科(北京华联亦庄店),北京市-北京经济技术开发区,北京市北京经济技术开发区荣华中路8号院1号楼三层F3-31,,
北京市,知铭中医医院,北京市-朝阳区,北京市朝阳区南沙滩66号一号楼2层,,
北京市,科尔口腔(合生汇总院),北京市-朝阳区,北京市朝阳区西大望路甲20号院11号楼1层4单元,,
北京市,维乐口腔医院(丰台分院),北京市-丰台区,北京市丰台区蒲芳路1号楼二层1-11内6,,
北京市,维乐口腔医院(新城市分院),北京市-朝阳区,北京市朝阳区十里铺乙2号院5号楼1层501内F101,,
北京市,维乐口腔医院(日坛店),北京市-朝阳区,北京市朝阳区神路街39号10幢1至2层1段20,,
北京市,维乐口腔医院(花园路分院),北京市-海淀区,北京市海淀区花园北路35号9号楼一层101,,
北京市,维乐口腔医院(通州万达院),北京市-通州区,北京市通州区八里桥南街1号院1-1、1-2、1-3号,,
北京市,维乐口腔医院(酒仙桥总院),北京市-朝阳区,北京市朝阳区酒仙桥中路26号院1号楼-1至3层101号1层、2层、3层,,
北京市,维乐口腔医院(马连道分院),北京市-西城区,北京市西城区马连道南街2号院8号楼2层203,,
北京市,芽美口腔(大兴分院),北京市-大兴区,北京市大兴区永大路1号院16号楼1层104、105,,
北京市,芽美口腔(天通苑分院),北京市-昌平区,北京市昌平区东小口镇天通东苑一区12号楼-1至4层108,,
北京市,芽美口腔(常营店),北京市-朝阳区,北京市朝阳区常惠路6号楼1层109、2层207,,
北京市,英博京植口腔医院,北京市-朝阳区,北京市朝阳区广顺南大街21号院-1号楼,,
北京市,荷马优贝口腔(金鼎旗舰店),北京市-石景山区,北京市石景山区金顶北路20号院1栋1层101、2层201-012号,,
北京市,荷马口腔(回龙观店),北京市-昌平区,北京市北京市昌平区北京市昌平区回龙观龙泽园街道科星西路39号,,
北京市,荷马口腔(城关店),北京市-房山区,北京市房山区城关街道南大街49号,,
北京市,荷马口腔(旧宫店),北京市-大兴区,北京市大兴区旧忠路10号院2号楼1至2层101、102,,
北京市,荷马口腔(良乡南关店),北京市-房山区,北京市房山区良乡拱辰南大街93号嘉瑞通2号楼2-4,,
北京市,荷马口腔(西三旗旗舰院),北京市-海淀区,北京市海淀区西三旗街道宝盛西里37号楼2层201,,
北京市,荷马口腔(长阳店),北京市-房山区,北京市房山区长阳镇祥云街10号院6号楼1至2层106、1层107,,
北京市,荷马口腔(门头沟旗舰院),北京市-门头沟区,北京市门头沟区滨河西区皓月园3号楼滨河路117号,,
北京市,诺美口腔(亦庄门诊部),北京市-大兴区,北京市大兴区亦庄经济技术开发区天华园一里一区5号楼1层103,,
北京市,诺美口腔(大屯门诊部),北京市-朝阳区,北京市朝阳区北苑路120号安慧北里逸园6号楼底商,,
北京市,诺美口腔(角门门诊部),北京市-丰台区,北京市丰台区马家堡路154号院3号楼底商,,
北京市,诺美口腔(马连道门诊部),北京市-西城区,北京市西城区马连道南街1号院2号楼二层2-3诺美口腔,,
北京市,轻心口腔(朝阳公园店),北京市-朝阳区,北京市朝阳区水碓子北里 1 号六里屯街道,,
北京市,雅医家口腔,北京市-朝阳区,北京市北京市朝阳区西坝河东里UHN国际村2号院6号楼底商20号,,
北京市,雅德嘉口腔(五棵松店),北京市-海淀区,北京市海淀区西翠路17号18号楼一层,,
北京市,雅德嘉口腔(五路居店),北京市-海淀区,北京市海淀区五路居南街甲16号院4号楼2层03-4,,
北京市,雅德嘉口腔(时雨园店),北京市-海淀区,北京市海淀区世纪城时雨园底商甲1-8号,,
北京市,雅德嘉口腔儿牙正畸中心,北京市-海淀区,北京市海淀区万柳星标家园6号楼（便利店3）（海淀少年宫北侧）,,
北京市,雅德嘉口腔医院(光大水墨总院),北京市-海淀区,北京市海淀区万柳光大西园6号楼1层0118、2层0218、三层0318,,
北京市,雅德嘉口腔正畸种植中心(西山庭院店),北京市-海淀区,北京市海淀区天秀花园秋水园甲1号楼2层（正黄旗）,,
北京市,马泷齿科康樾门诊部(北京财富中心店),北京市-朝阳区,北京市朝阳区东三环中路7号3号楼1层E107,,
北京市,马泷齿科康雅门诊(朝外SOHO店),北京市-朝阳区,北京市朝阳区朝阳门外大街乙6号朝外SOHO-B座底商0131室,,
北京市,齿康口腔(传媒大学店),北京市-朝阳区,北京市朝阳区定福庄西里2号3号楼,,
北京市,齿康口腔(如意园店),北京市-通州区,北京市通州区如意园12号楼1层12-8,,
北京市,齿康口腔(科技大学店),北京市-朝阳区,北京市朝阳区管庄路（双桥蔬菜公司）7幢1层108,,
毕节市,七星关朗朗口腔门诊部,毕节市-七星关区,贵州省毕节市七星关区市东街道清毕路川滇商住楼8号门面二楼,,
毕节市,七星关邦瑞朗朗口腔门诊部,毕节市-七星关区,贵州省毕节市七星关区山街道洪南路瑞丰新城1号门面,,
毕节市,七星关鑫瑞朗朗口腔门诊部,毕节市-七星关区,贵州省毕节市七星关区碧阳街道碧阳国际城F地块兰乔圣菲项目S-1-2-2商铺,,
毕节市,京州口腔(招商花园店),毕节市-七星关区,贵州省毕节市七星关区碧阳街道文博路招商花园城商业3号楼2-1、3-1,,
毕节市,京州口腔(爱民广场店),毕节市-七星关区,贵州省毕节市七星关区洪山街道拥军路爱民场旁,,
毕节市,惠诚口腔(天河路店),毕节市-七星关区,贵州省毕节市七星关区市西街道箱子路安置房二楼2-1左侧（临天河路一侧）商铺,,
毕节市,惠诚口腔(招商店),毕节市-七星关区,贵州省毕节市七星关区碧阳街道文博路招商花园城A区文体中心栋2层2-4至2-13号,,
百色市,唯美口腔(百色店),百色市-右江区,广西百色市右江区平安路广安公园里一期B20、B21号商铺,,
保定市,1+1口腔门诊部,保定市-莲池区,河北省保定市莲池区西关街道建华大街702号(金马大厦底商),,
保定市,圣恩口腔,保定市-竞秀区,保定市竞秀区韩村乡化纤东生活区,,
保定市,张俊生口腔诊所,保定市-竞秀区,河北省保定市竞秀区恬静园底商1375号,,
保定市,朝阳社区卫生服务中心,保定市-竞秀区,河北省保定市竞秀区朝阳北大街718号（保定海关南行100米）,,
保定市,领秀门诊部,保定市-秀紫晶城东区,领秀紫晶城东区西门031号门脸,,
白山市,浑江区精工口腔,白山市-浑江区,吉林省白山市浑江区广厦安居114门市,,
白山市,白山市欣美口腔,白山市-浑江区,吉林省白山市浑江区红旗街团结路45号,,
白城市,徐伟东口腔医院,白城市-洮北区,吉林省白城市洮北区海明西路23-5号,,
白城市,朝阳牙科,白城市-洮北区,吉林省白城市洮北区长庆北街17-7号7室,,
本溪市,卫协口腔,本溪市-明山区,辽宁省本溪市明山区北地街道解放北路76号,,
巴彦淖尔市,晨博口腔,巴彦淖尔市-临河区,内蒙古自治区巴彦淖尔市临河区临河区先锋街道中央城南门,,
滨州市,博兴众诚口腔诊所,滨州市-博兴县,山东省滨州市博兴县锦秋街道办事处胜利二路实小幼儿园商品房,,
滨州市,牙博士口腔(渤海六路店),滨州市-滨城区,山东省滨州市滨城区北镇街道渤海六路698号鑫玮财富中心南一、二层,,
包头市,博仕洁口腔门诊部(高新店),包头市-九原区,内蒙古自治区包头市九原区稀土高新区建安大街丽晶名邸108底店,,
